national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2021,135.291,4
Nacional,,General,Index,2021,133.652,3
Nacional,,General,Index,2021,130.937,2
Nacional,,General,Index,2021,127.831,1
Nacional,,General,Quarterly variation rate,2021,1.2,4
Nacional,,General,Quarterly variation rate,2021,2.1,3
Nacional,,General,Quarterly variation rate,2021,2.4,2
Nacional,,General,Quarterly variation rate,2021,0.5,1
Nacional,,General,Annual variation,2021,6.4,4
Nacional,,General,Annual variation,2021,4.2,3
Nacional,,General,Annual variation,2021,3.3,2
Nacional,,General,Annual variation,2021,0.9,1
Nacional,,General,Year-to-date variation rate,2021,6.4,4
Nacional,,General,Year-to-date variation rate,2021,5.1,3
Nacional,,General,Year-to-date variation rate,2021,3.0,2
Nacional,,General,Year-to-date variation rate,2021,0.5,1
Nacional,,New dwelling,Index,2021,148.64,4
Nacional,,New dwelling,Index,2021,145.073,3
Nacional,,New dwelling,Index,2021,141.088,2
Nacional,,New dwelling,Index,2021,139.321,1
Nacional,,New dwelling,Quarterly variation rate,2021,2.5,4
Nacional,,New dwelling,Quarterly variation rate,2021,2.8,3
Nacional,,New dwelling,Quarterly variation rate,2021,1.3,2
Nacional,,New dwelling,Quarterly variation rate,2021,-0.6,1
Nacional,,New dwelling,Annual variation,2021,6.1,4
Nacional,,New dwelling,Annual variation,2021,4.1,3
Nacional,,New dwelling,Annual variation,2021,6.0,2
Nacional,,New dwelling,Annual variation,2021,2.3,1
Nacional,,New dwelling,Year-to-date variation rate,2021,6.1,4
Nacional,,New dwelling,Year-to-date variation rate,2021,3.5,3
Nacional,,New dwelling,Year-to-date variation rate,2021,0.7,2
Nacional,,New dwelling,Year-to-date variation rate,2021,-0.6,1
Nacional,,Second-hand dwelling,Index,2021,133.292,4
Nacional,,Second-hand dwelling,Index,2021,132.009,3
Nacional,,Second-hand dwelling,Index,2021,129.522,2
Nacional,,Second-hand dwelling,Index,2021,126.153,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2021,1.0,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2021,1.9,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2021,2.7,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2021,0.7,1
Nacional,,Second-hand dwelling,Annual variation,2021,6.4,4
Nacional,,Second-hand dwelling,Annual variation,2021,4.3,3
Nacional,,Second-hand dwelling,Annual variation,2021,2.9,2
Nacional,,Second-hand dwelling,Annual variation,2021,0.7,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2021,6.4,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2021,5.4,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2021,3.4,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2021,0.7,1
Nacional,01 Andalucía,General,Index,2021,130.178,4
Nacional,01 Andalucía,General,Index,2021,128.119,3
Nacional,01 Andalucía,General,Index,2021,123.878,2
Nacional,01 Andalucía,General,Index,2021,120.217,1
Nacional,01 Andalucía,General,Quarterly variation rate,2021,1.6,4
Nacional,01 Andalucía,General,Quarterly variation rate,2021,3.4,3
Nacional,01 Andalucía,General,Quarterly variation rate,2021,3.0,2
Nacional,01 Andalucía,General,Quarterly variation rate,2021,-0.2,1
Nacional,01 Andalucía,General,Annual variation,2021,8.0,4
Nacional,01 Andalucía,General,Annual variation,2021,6.0,3
Nacional,01 Andalucía,General,Annual variation,2021,3.6,2
Nacional,01 Andalucía,General,Annual variation,2021,0.7,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2021,8.0,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2021,6.3,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2021,2.8,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2021,-0.2,1
Nacional,01 Andalucía,New dwelling,Index,2021,151.316,4
Nacional,01 Andalucía,New dwelling,Index,2021,148.697,3
Nacional,01 Andalucía,New dwelling,Index,2021,141.129,2
Nacional,01 Andalucía,New dwelling,Index,2021,138.982,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2021,1.8,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2021,5.4,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2021,1.5,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2021,-1.2,1
Nacional,01 Andalucía,New dwelling,Annual variation,2021,7.6,4
Nacional,01 Andalucía,New dwelling,Annual variation,2021,7.0,3
Nacional,01 Andalucía,New dwelling,Annual variation,2021,5.6,2
Nacional,01 Andalucía,New dwelling,Annual variation,2021,6.2,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2021,7.6,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2021,5.7,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2021,0.3,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2021,-1.2,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2021,127.633,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2021,125.653,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2021,121.954,2
Nacional,01 Andalucía,Second-hand dwelling,Index,2021,117.998,1
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2021,1.6,4
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2021,3.0,3
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2021,3.4,2
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2021,-0.1,1
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2021,8.1,4
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2021,5.9,3
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2021,3.4,2
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2021,-0.1,1
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2021,8.1,4
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2021,6.4,3
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2021,3.3,2
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2021,-0.1,1
Nacional,02 Aragón,General,Index,2021,126.951,4
Nacional,02 Aragón,General,Index,2021,125.622,3
Nacional,02 Aragón,General,Index,2021,122.696,2
Nacional,02 Aragón,General,Index,2021,120.807,1
Nacional,02 Aragón,General,Quarterly variation rate,2021,1.1,4
Nacional,02 Aragón,General,Quarterly variation rate,2021,2.4,3
Nacional,02 Aragón,General,Quarterly variation rate,2021,1.6,2
Nacional,02 Aragón,General,Quarterly variation rate,2021,1.2,1
Nacional,02 Aragón,General,Annual variation,2021,6.3,4
Nacional,02 Aragón,General,Annual variation,2021,4.5,3
Nacional,02 Aragón,General,Annual variation,2021,2.5,2
Nacional,02 Aragón,General,Annual variation,2021,1.9,1
Nacional,02 Aragón,General,Year-to-date variation rate,2021,6.3,4
Nacional,02 Aragón,General,Year-to-date variation rate,2021,5.2,3
Nacional,02 Aragón,General,Year-to-date variation rate,2021,2.8,2
Nacional,02 Aragón,General,Year-to-date variation rate,2021,1.2,1
Nacional,02 Aragón,New dwelling,Index,2021,131.674,4
Nacional,02 Aragón,New dwelling,Index,2021,130.261,3
Nacional,02 Aragón,New dwelling,Index,2021,122.963,2
Nacional,02 Aragón,New dwelling,Index,2021,122.415,1
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2021,1.1,4
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2021,5.9,3
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2021,0.4,2
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2021,0.1,1
Nacional,02 Aragón,New dwelling,Annual variation,2021,7.6,4
Nacional,02 Aragón,New dwelling,Annual variation,2021,3.4,3
Nacional,02 Aragón,New dwelling,Annual variation,2021,2.0,2
Nacional,02 Aragón,New dwelling,Annual variation,2021,-0.1,1
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2021,7.6,4
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2021,6.5,3
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2021,0.5,2
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2021,0.1,1
Nacional,02 Aragón,Second-hand dwelling,Index,2021,125.611,4
Nacional,02 Aragón,Second-hand dwelling,Index,2021,124.307,3
Nacional,02 Aragón,Second-hand dwelling,Index,2021,122.725,2
Nacional,02 Aragón,Second-hand dwelling,Index,2021,120.421,1
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2021,1.0,4
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2021,1.3,3
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2021,1.9,2
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2021,1.5,1
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2021,5.9,4
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2021,4.7,3
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2021,2.7,2
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2021,2.5,1
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2021,5.9,4
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2021,4.8,3
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2021,3.5,2
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2021,1.5,1
Nacional,03 Asturias. Principado de,General,Index,2021,121.34,4
Nacional,03 Asturias. Principado de,General,Index,2021,119.777,3
Nacional,03 Asturias. Principado de,General,Index,2021,118.855,2
Nacional,03 Asturias. Principado de,General,Index,2021,115.257,1
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2021,1.3,4
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2021,0.8,3
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2021,3.1,2
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2021,0.8,1
Nacional,03 Asturias. Principado de,General,Annual variation,2021,6.2,4
Nacional,03 Asturias. Principado de,General,Annual variation,2021,4.6,3
Nacional,03 Asturias. Principado de,General,Annual variation,2021,3.6,2
Nacional,03 Asturias. Principado de,General,Annual variation,2021,2.2,1
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2021,6.2,4
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2021,4.8,3
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2021,4.0,2
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2021,0.8,1
Nacional,03 Asturias. Principado de,New dwelling,Index,2021,130.903,4
Nacional,03 Asturias. Principado de,New dwelling,Index,2021,129.998,3
Nacional,03 Asturias. Principado de,New dwelling,Index,2021,128.636,2
Nacional,03 Asturias. Principado de,New dwelling,Index,2021,126.47,1
Nacional,03 Asturias. Principado de,New dwelling,Quarterly variation rate,2021,0.7,4
Nacional,03 Asturias. Principado de,New dwelling,Quarterly variation rate,2021,1.1,3
Nacional,03 Asturias. Principado de,New dwelling,Quarterly variation rate,2021,1.7,2
Nacional,03 Asturias. Principado de,New dwelling,Quarterly variation rate,2021,0.5,1
Nacional,03 Asturias. Principado de,New dwelling,Annual variation,2021,4.0,4
Nacional,03 Asturias. Principado de,New dwelling,Annual variation,2021,0.3,3
Nacional,03 Asturias. Principado de,New dwelling,Annual variation,2021,4.1,2
Nacional,03 Asturias. Principado de,New dwelling,Annual variation,2021,2.4,1
Nacional,03 Asturias. Principado de,New dwelling,Year-to-date variation rate,2021,4.0,4
Nacional,03 Asturias. Principado de,New dwelling,Year-to-date variation rate,2021,3.3,3
Nacional,03 Asturias. Principado de,New dwelling,Year-to-date variation rate,2021,2.2,2
Nacional,03 Asturias. Principado de,New dwelling,Year-to-date variation rate,2021,0.5,1
Nacional,03 Asturias. Principado de,Second-hand dwelling,Index,2021,120.03,4
Nacional,03 Asturias. Principado de,Second-hand dwelling,Index,2021,118.359,3
Nacional,03 Asturias. Principado de,Second-hand dwelling,Index,2021,117.505,2
Nacional,03 Asturias. Principado de,Second-hand dwelling,Index,2021,113.674,1
Nacional,03 Asturias. Principado de,Second-hand dwelling,Quarterly variation rate,2021,1.4,4
Nacional,03 Asturias. Principado de,Second-hand dwelling,Quarterly variation rate,2021,0.7,3
Nacional,03 Asturias. Principado de,Second-hand dwelling,Quarterly variation rate,2021,3.4,2
Nacional,03 Asturias. Principado de,Second-hand dwelling,Quarterly variation rate,2021,0.9,1
Nacional,03 Asturias. Principado de,Second-hand dwelling,Annual variation,2021,6.5,4
Nacional,03 Asturias. Principado de,Second-hand dwelling,Annual variation,2021,5.3,3
Nacional,03 Asturias. Principado de,Second-hand dwelling,Annual variation,2021,3.6,2
Nacional,03 Asturias. Principado de,Second-hand dwelling,Annual variation,2021,2.2,1
Nacional,03 Asturias. Principado de,Second-hand dwelling,Year-to-date variation rate,2021,6.5,4
Nacional,03 Asturias. Principado de,Second-hand dwelling,Year-to-date variation rate,2021,5.0,3
Nacional,03 Asturias. Principado de,Second-hand dwelling,Year-to-date variation rate,2021,4.3,2
Nacional,03 Asturias. Principado de,Second-hand dwelling,Year-to-date variation rate,2021,0.9,1
Nacional,04 Balears. Illes,General,Index,2021,149.462,4
Nacional,04 Balears. Illes,General,Index,2021,147.791,3
Nacional,04 Balears. Illes,General,Index,2021,141.694,2
Nacional,04 Balears. Illes,General,Index,2021,136.265,1
Nacional,04 Balears. Illes,General,Quarterly variation rate,2021,1.1,4
Nacional,04 Balears. Illes,General,Quarterly variation rate,2021,4.3,3
Nacional,04 Balears. Illes,General,Quarterly variation rate,2021,4.0,2
Nacional,04 Balears. Illes,General,Quarterly variation rate,2021,-0.1,1
Nacional,04 Balears. Illes,General,Annual variation,2021,9.6,4
Nacional,04 Balears. Illes,General,Annual variation,2021,6.8,3
Nacional,04 Balears. Illes,General,Annual variation,2021,5.7,2
Nacional,04 Balears. Illes,General,Annual variation,2021,1.1,1
Nacional,04 Balears. Illes,General,Year-to-date variation rate,2021,9.6,4
Nacional,04 Balears. Illes,General,Year-to-date variation rate,2021,8.4,3
Nacional,04 Balears. Illes,General,Year-to-date variation rate,2021,3.9,2
Nacional,04 Balears. Illes,General,Year-to-date variation rate,2021,-0.1,1
Nacional,04 Balears. Illes,New dwelling,Index,2021,160.667,4
Nacional,04 Balears. Illes,New dwelling,Index,2021,155.844,3
Nacional,04 Balears. Illes,New dwelling,Index,2021,147.838,2
Nacional,04 Balears. Illes,New dwelling,Index,2021,147.196,1
Nacional,04 Balears. Illes,New dwelling,Quarterly variation rate,2021,3.1,4
Nacional,04 Balears. Illes,New dwelling,Quarterly variation rate,2021,5.4,3
Nacional,04 Balears. Illes,New dwelling,Quarterly variation rate,2021,0.4,2
Nacional,04 Balears. Illes,New dwelling,Quarterly variation rate,2021,-2.0,1
Nacional,04 Balears. Illes,New dwelling,Annual variation,2021,7.0,4
Nacional,04 Balears. Illes,New dwelling,Annual variation,2021,7.2,3
Nacional,04 Balears. Illes,New dwelling,Annual variation,2021,9.5,2
Nacional,04 Balears. Illes,New dwelling,Annual variation,2021,5.7,1
Nacional,04 Balears. Illes,New dwelling,Year-to-date variation rate,2021,7.0,4
Nacional,04 Balears. Illes,New dwelling,Year-to-date variation rate,2021,3.8,3
Nacional,04 Balears. Illes,New dwelling,Year-to-date variation rate,2021,-1.6,2
Nacional,04 Balears. Illes,New dwelling,Year-to-date variation rate,2021,-2.0,1
Nacional,04 Balears. Illes,Second-hand dwelling,Index,2021,148.86,4
Nacional,04 Balears. Illes,Second-hand dwelling,Index,2021,147.524,3
Nacional,04 Balears. Illes,Second-hand dwelling,Index,2021,141.61,2
Nacional,04 Balears. Illes,Second-hand dwelling,Index,2021,135.638,1
Nacional,04 Balears. Illes,Second-hand dwelling,Quarterly variation rate,2021,0.9,4
Nacional,04 Balears. Illes,Second-hand dwelling,Quarterly variation rate,2021,4.2,3
Nacional,04 Balears. Illes,Second-hand dwelling,Quarterly variation rate,2021,4.4,2
Nacional,04 Balears. Illes,Second-hand dwelling,Quarterly variation rate,2021,0.1,1
Nacional,04 Balears. Illes,Second-hand dwelling,Annual variation,2021,9.9,4
Nacional,04 Balears. Illes,Second-hand dwelling,Annual variation,2021,6.9,3
Nacional,04 Balears. Illes,Second-hand dwelling,Annual variation,2021,5.6,2
Nacional,04 Balears. Illes,Second-hand dwelling,Annual variation,2021,0.8,1
Nacional,04 Balears. Illes,Second-hand dwelling,Year-to-date variation rate,2021,9.9,4
Nacional,04 Balears. Illes,Second-hand dwelling,Year-to-date variation rate,2021,8.9,3
Nacional,04 Balears. Illes,Second-hand dwelling,Year-to-date variation rate,2021,4.5,2
Nacional,04 Balears. Illes,Second-hand dwelling,Year-to-date variation rate,2021,0.1,1
Nacional,05 Canarias,General,Index,2021,128.649,4
Nacional,05 Canarias,General,Index,2021,128.119,3
Nacional,05 Canarias,General,Index,2021,125.239,2
Nacional,05 Canarias,General,Index,2021,121.16,1
Nacional,05 Canarias,General,Quarterly variation rate,2021,0.4,4
Nacional,05 Canarias,General,Quarterly variation rate,2021,2.3,3
Nacional,05 Canarias,General,Quarterly variation rate,2021,3.4,2
Nacional,05 Canarias,General,Quarterly variation rate,2021,1.5,1
Nacional,05 Canarias,General,Annual variation,2021,7.8,4
Nacional,05 Canarias,General,Annual variation,2021,7.0,3
Nacional,05 Canarias,General,Annual variation,2021,6.4,2
Nacional,05 Canarias,General,Annual variation,2021,1.8,1
Nacional,05 Canarias,General,Year-to-date variation rate,2021,7.8,4
Nacional,05 Canarias,General,Year-to-date variation rate,2021,7.4,3
Nacional,05 Canarias,General,Year-to-date variation rate,2021,5.0,2
Nacional,05 Canarias,General,Year-to-date variation rate,2021,1.5,1
Nacional,05 Canarias,New dwelling,Index,2021,138.677,4
Nacional,05 Canarias,New dwelling,Index,2021,138.129,3
Nacional,05 Canarias,New dwelling,Index,2021,135.717,2
Nacional,05 Canarias,New dwelling,Index,2021,130.688,1
Nacional,05 Canarias,New dwelling,Quarterly variation rate,2021,0.4,4
Nacional,05 Canarias,New dwelling,Quarterly variation rate,2021,1.8,3
Nacional,05 Canarias,New dwelling,Quarterly variation rate,2021,3.8,2
Nacional,05 Canarias,New dwelling,Quarterly variation rate,2021,1.0,1
Nacional,05 Canarias,New dwelling,Annual variation,2021,7.1,4
Nacional,05 Canarias,New dwelling,Annual variation,2021,2.4,3
Nacional,05 Canarias,New dwelling,Annual variation,2021,6.5,2
Nacional,05 Canarias,New dwelling,Annual variation,2021,3.1,1
Nacional,05 Canarias,New dwelling,Year-to-date variation rate,2021,7.1,4
Nacional,05 Canarias,New dwelling,Year-to-date variation rate,2021,6.7,3
Nacional,05 Canarias,New dwelling,Year-to-date variation rate,2021,4.9,2
Nacional,05 Canarias,New dwelling,Year-to-date variation rate,2021,1.0,1
Nacional,05 Canarias,Second-hand dwelling,Index,2021,127.73,4
Nacional,05 Canarias,Second-hand dwelling,Index,2021,127.202,3
Nacional,05 Canarias,Second-hand dwelling,Index,2021,124.286,2
Nacional,05 Canarias,Second-hand dwelling,Index,2021,120.288,1
Nacional,05 Canarias,Second-hand dwelling,Quarterly variation rate,2021,0.4,4
Nacional,05 Canarias,Second-hand dwelling,Quarterly variation rate,2021,2.3,3
Nacional,05 Canarias,Second-hand dwelling,Quarterly variation rate,2021,3.3,2
Nacional,05 Canarias,Second-hand dwelling,Quarterly variation rate,2021,1.6,1
Nacional,05 Canarias,Second-hand dwelling,Annual variation,2021,7.9,4
Nacional,05 Canarias,Second-hand dwelling,Annual variation,2021,7.3,3
Nacional,05 Canarias,Second-hand dwelling,Annual variation,2021,6.4,2
Nacional,05 Canarias,Second-hand dwelling,Annual variation,2021,1.7,1
Nacional,05 Canarias,Second-hand dwelling,Year-to-date variation rate,2021,7.9,4
Nacional,05 Canarias,Second-hand dwelling,Year-to-date variation rate,2021,7.4,3
Nacional,05 Canarias,Second-hand dwelling,Year-to-date variation rate,2021,5.0,2
Nacional,05 Canarias,Second-hand dwelling,Year-to-date variation rate,2021,1.6,1
Nacional,06 Cantabria,General,Index,2021,127.541,4
Nacional,06 Cantabria,General,Index,2021,126.327,3
Nacional,06 Cantabria,General,Index,2021,123.708,2
Nacional,06 Cantabria,General,Index,2021,119.634,1
Nacional,06 Cantabria,General,Quarterly variation rate,2021,1.0,4
Nacional,06 Cantabria,General,Quarterly variation rate,2021,2.1,3
Nacional,06 Cantabria,General,Quarterly variation rate,2021,3.4,2
Nacional,06 Cantabria,General,Quarterly variation rate,2021,1.0,1
Nacional,06 Cantabria,General,Annual variation,2021,7.7,4
Nacional,06 Cantabria,General,Annual variation,2021,6.9,3
Nacional,06 Cantabria,General,Annual variation,2021,5.3,2
Nacional,06 Cantabria,General,Annual variation,2021,2.0,1
Nacional,06 Cantabria,General,Year-to-date variation rate,2021,7.7,4
Nacional,06 Cantabria,General,Year-to-date variation rate,2021,6.7,3
Nacional,06 Cantabria,General,Year-to-date variation rate,2021,4.5,2
Nacional,06 Cantabria,General,Year-to-date variation rate,2021,1.0,1
Nacional,06 Cantabria,New dwelling,Index,2021,131.31,4
Nacional,06 Cantabria,New dwelling,Index,2021,130.265,3
Nacional,06 Cantabria,New dwelling,Index,2021,127.052,2
Nacional,06 Cantabria,New dwelling,Index,2021,123.809,1
Nacional,06 Cantabria,New dwelling,Quarterly variation rate,2021,0.8,4
Nacional,06 Cantabria,New dwelling,Quarterly variation rate,2021,2.5,3
Nacional,06 Cantabria,New dwelling,Quarterly variation rate,2021,2.6,2
Nacional,06 Cantabria,New dwelling,Quarterly variation rate,2021,0.3,1
Nacional,06 Cantabria,New dwelling,Annual variation,2021,6.3,4
Nacional,06 Cantabria,New dwelling,Annual variation,2021,2.8,3
Nacional,06 Cantabria,New dwelling,Annual variation,2021,4.3,2
Nacional,06 Cantabria,New dwelling,Annual variation,2021,4.5,1
Nacional,06 Cantabria,New dwelling,Year-to-date variation rate,2021,6.3,4
Nacional,06 Cantabria,New dwelling,Year-to-date variation rate,2021,5.5,3
Nacional,06 Cantabria,New dwelling,Year-to-date variation rate,2021,2.9,2
Nacional,06 Cantabria,New dwelling,Year-to-date variation rate,2021,0.3,1
Nacional,06 Cantabria,Second-hand dwelling,Index,2021,127.087,4
Nacional,06 Cantabria,Second-hand dwelling,Index,2021,125.844,3
Nacional,06 Cantabria,Second-hand dwelling,Index,2021,123.319,2
Nacional,06 Cantabria,Second-hand dwelling,Index,2021,119.102,1
Nacional,06 Cantabria,Second-hand dwelling,Quarterly variation rate,2021,1.0,4
Nacional,06 Cantabria,Second-hand dwelling,Quarterly variation rate,2021,2.0,3
Nacional,06 Cantabria,Second-hand dwelling,Quarterly variation rate,2021,3.5,2
Nacional,06 Cantabria,Second-hand dwelling,Quarterly variation rate,2021,1.2,1
Nacional,06 Cantabria,Second-hand dwelling,Annual variation,2021,7.9,4
Nacional,06 Cantabria,Second-hand dwelling,Annual variation,2021,7.6,3
Nacional,06 Cantabria,Second-hand dwelling,Annual variation,2021,5.5,2
